2026-02-25 21:05:23,765 | INFO | root | Logging initialized successfully
2026-02-25 22:54:03,008 | INFO | root | Logging initialized successfully
2026-02-25 22:54:04,547 | INFO | root | Logging initialized successfully
2026-02-25 22:54:05,160 | INFO | root | Logging initialized successfully
2026-02-25 22:54:07,959 | INFO | root | Logging initialized successfully
2026-02-25 22:54:09,729 | ERROR | root | Market Order Error: APIError(code=-1021): Timestamp for this request is outside of the recvWindow.
2026-02-25 22:54:10,857 | INFO | root | Logging initialized successfully
2026-02-25 22:54:13,165 | INFO | root | Logging initialized successfully
2026-02-25 22:54:19,510 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:54:19,512 | INFO | root | Placing LIMIT order: BTCUSDT SELL 0.01 @ 0.01
2026-02-25 22:54:21,766 | ERROR | root | Limit Order Error: APIError(code=-4013): Price less than min price.
2026-02-25 22:54:27,824 | INFO | root | Logging initialized successfully
2026-02-25 22:54:29,199 | INFO | root | Logging initialized successfully
2026-02-25 22:54:30,885 | INFO | root | Logging initialized successfully
2026-02-25 22:54:33,583 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:54:33,583 | INFO | root | Placing LIMIT order: BTCUSDT SELL 0.02 @ 0.02
2026-02-25 22:54:34,256 | ERROR | root | Limit Order Error: APIError(code=-4013): Price less than min price.
2026-02-25 22:54:45,953 | INFO | root | Logging initialized successfully
2026-02-25 22:54:46,751 | INFO | root | Logging initialized successfully
2026-02-25 22:54:49,845 | INFO | root | Logging initialized successfully
2026-02-25 22:54:53,183 | INFO | root | Logging initialized successfully
2026-02-25 22:54:54,928 | INFO | root | Logging initialized successfully
2026-02-25 22:54:56,298 | INFO | root | Logging initialized successfully
2026-02-25 22:54:56,960 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:54:56,961 | INFO | root | Placing LIMIT order: BTCUSDT SELL 0.01 @ 0.03
2026-02-25 22:54:57,319 | ERROR | root | Limit Order Error: APIError(code=-4013): Price less than min price.
2026-02-25 22:56:34,335 | INFO | root | Logging initialized successfully
2026-02-25 22:56:34,744 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:57:31,412 | INFO | root | Logging initialized successfully
2026-02-25 22:58:25,920 | INFO | root | Logging initialized successfully
2026-02-25 22:58:26,608 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:59:27,117 | INFO | root | Logging initialized successfully
2026-02-25 22:59:27,539 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:59:36,320 | INFO | root | Logging initialized successfully
2026-02-25 22:59:36,524 | INFO | root | Logging initialized successfully
2026-02-25 22:59:37,096 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:59:37,355 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:59:37,858 | INFO | root | Placing MARKET order: BTCUSDT SELL 0.002
2026-02-25 22:59:38,062 | INFO | root | Market Order Response: {'orderId': 12547187507, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ745a9ff6ef64e2d6b5555c', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1772040582665}
